1	Vitamin D COVID-19
2	Vitamin C COVID-19
3	BCG vaccine COVID-19
4	Ibuprofen COVID-19
5	Salt water COVID-19
6	Ginger COVID-19
7	5G COVID-19
8	Herbal tea COVID-19
9	Convalescent plasma COVID-19
10	Pneumococcal vaccine COVID-19
11	Female sex hormones COVID-19
12	dextromethorphan COVID-19
13	Masks COVID-19
14	Drinking cow urine COVID-19
15	Social Distancing COVID-19
16	Vinegar COVID-19
17	Convalescent plasma COVID-19
18	Lopinavir-ritonavir COVID-19
19	Ayurveda COVID-19
20	UV light COVID-19
21	Black seed oil COVID-19
22	Tamiflu COVID-19
23	Burning neem leaves COVID-19
24	Alcohol COVID-19
25	High temperatures and humidity COVID-19
26	Remdesivir COVID-19
27	Turmeric COVID-19
28	Vegetarian diet COVID-19
29	Flu shot COVID-19
30	ACE and ARBs COVID-19
31	Smoking COVID-19
32	Type O blood COVID-19
33	Methanol COVID-19
34	Handwashing COVID-19
35	Nicotine patches COVID-19
36	Cannabis COVID-19
37	Hydroxychloroquine COVID-19
38	Monoclonal Antibodies COVID-19
39	Bleach COVID-19
40	Breast milk COVID-19
41	Hib vaccine COVID-19
42	Inhalers COVID-19
43	Omega-3 COVID-19
44	IVIG COVID-19
45	Remestemcel-l COVID-19
46	Mosquito COVID-19
47	Homemade Vodka Sanitizer COVID-19
48	Ribavirin COVID-19
49	Echinacea COVID-19
50	Lemon water COVID-19
